product-id,product-name,ext-prim-category-id,primary-product-category-id,categories,remove-from-categories,product-sku,parent-product-sku,position,short-description,long-description,list-price,hsn-code,start-selling-date,is-serialized,is-digital,product-type,weight,weight-uom-id,height,width,depth,dimension-uom-id,product-url-name,publish,sales-channel,bar-code,MPN,currency-uom-id,features,features-options,good-identifications,attributes,brand-name,image,additional-images,charge-shipping,shipping-weight,tags,remove-tags,taxable,comments
,So Plush Plumper Lip Gloss (GWP),,,,,julep-8843020402711,,,,"Looking to enhance the volume and fullness of your lips, naturally? Infused with hydrating oils and nourishing skincare-inspired ingredients, Julep’s smooth So Plush Plumper Lip Gloss delivers sheer, shiny color that boosts your pout. The signature Maxilip plumping complex helps to gently boost your pout for results you can see instantly.",,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:8843020402711,,Julep,,,,,,,,
,So Plush Plumper Lip Gloss (GWP),,,,,0231-0007024,julep-8843020402711,1,,,0.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Title,Julep|Standard,SHOPIFY_PROD_ID:45175162372119,,Julep,,,,,,,,
,Length Matters & Lip Pudding Duo,,,,,julep-8832228720663,,,,,,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:8832228720663,,Julep,,,,,,,,
,Length Matters & Lip Pudding Duo - Vanilla,,,,,LENGTH-VAN,julep-8832228720663,1,,,14.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shade,Julep|Vanilla,SHOPIFY_PROD_ID:45150905958423,,Julep,,,,,,,,
,Length Matters & Lip Pudding Duo - Candy,,,,,LENGTH-CAN,julep-8832228720663,2,,,14.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shade,Julep|Candy,SHOPIFY_PROD_ID:45150905991191,,Julep,,,,,,,,
,So Appealing Peel-Off Lip Tint Trio,,,,,julep-8823207198743,,,,,,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:8823207198743,,Julep,,,,,,,,
,So Appealing Peel-Off Lip Tint Trio,,,,,SO-PEEL-TRIO,julep-8823207198743,1,,,48.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Title,Julep|Standard,SHOPIFY_PROD_ID:45134741897239,,Julep,,,,,,,,
,So Appealing Peel-Off Lip Tint,,,,,julep-8823140483095,,,,,,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:8823140483095,,Julep,,,,,,,,
,So Appealing Peel-Off Lip Tint - Lychee,,,,,0230-0032012,julep-8823140483095,1,,,16.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shade,Julep|Lychee,SHOPIFY_PROD_ID:45134568751127,,Julep,,,,,,,,
,So Appealing Peel-Off Lip Tint - Coconut,,,,,0230-0032013,julep-8823140483095,2,,,16.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shade,Julep|Coconut,SHOPIFY_PROD_ID:45134568783895,,Julep,,,,,,,,
,So Appealing Peel-Off Lip Tint - Cherry,,,,,0230-0032014,julep-8823140483095,3,,,16.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shade,Julep|Cherry,SHOPIFY_PROD_ID:45134568816663,,Julep,,,,,,,,
,Inner Radiance Shimmering Eyeshadow Set (3 PC),,,,,julep-6889922002967,,,,"This 3PC kit includes all you need to easily enhance your eyes for an enhanced, natural look for everyday. It features two beautiful Eyeshadow 101 shades that apply and blend like a dream, along with a fan-fave mascara for instantly longer lashes.",,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:6889922002967,,Julep,,,,,,,,
,Inner Radiance Shimmering Eyeshadow Set (3 PC),,,,,DUOMASC-BUND-2,julep-6889922002967,1,,,40.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Title,Julep|Standard,SHOPIFY_PROD_ID:40569219776535,,Julep,,,,,,,,
,Lip Pudding Deep-Hydration Lip Balm,,,,,julep-8752423010327,,,,,,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:8752423010327,,Julep,,,,,,,,
,Lip Pudding Deep-Hydration Lip Balm - Vanilla,,,,,0230-0032017,julep-8752423010327,1,,,14.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shade,Julep|Vanilla,SHOPIFY_PROD_ID:44740746117143,,Julep,,,,,,,,
,Lip Pudding Deep-Hydration Lip Balm - Candy,,,,,0230-0032019,julep-8752423010327,2,,,14.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shade,Julep|Candy,SHOPIFY_PROD_ID:44740746149911,,Julep,,,,,,,,
,6 PC Eyeshadow 101 Crème-to-Powder Waterproof Eyeshadow Stick,,,,,julep-6723066462231,,,,"Choose your favorite 6 pc set! No brush required when using this pigment-packed formula that glides effortlessly across lids before drying to a waterproof powder finish. how to use: Sweep directly across lids. Blend with fingers or the built-in smudger before the formula sets. For best results, prime the smudger by coating it with color prior to use.",,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:6723066462231,,Julep,,,,,,,,
,6 PC Eyeshadow 101 Crème-to-Powder Waterproof Eyeshadow Stick - Matte Magic,,,,,6PC-MATTE-BUND,julep-6723066462231,1,,,72.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Color,Julep|Matte Magic,SHOPIFY_PROD_ID:40561973297175,,Julep,,,,,,,,
,6 PC Eyeshadow 101 Crème-to-Powder Waterproof Eyeshadow Stick - Garden Party,,,,,1016PC2-Bundle,julep-6723066462231,2,,,72.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Color,Julep|Garden Party,SHOPIFY_PROD_ID:40104761196567,,Julep,,,,,,,,
,6 PC Eyeshadow 101 Crème-to-Powder Waterproof Eyeshadow Stick - Bold Basics,,,,,1016PC1-Bundle,julep-6723066462231,3,,,72.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Color,Julep|Bold Basics,SHOPIFY_PROD_ID:40104761229335,,Julep,,,,,,,,
,The Perfect Pair Duo,,,,,julep-8750013087767,,,,"Define, hydrate, and perfect your pout with this effortless lip duo. Start with the With a Trace Retractable Lip Liner to shape and lock in color, then glide on It’s Balm Lip Crayon for smooth, full-coverage color with a moisturizing, balm-like feel. Together, they deliver long-lasting definition and comfortable, hydrated lips in just a few swipes.",,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:8750013087767,,Julep,,,,,,,,
,The Perfect Pair Duo - Canyon Rose + Antique Rose,,,,,BALM-DUO-CRAR,julep-8750013087767,1,,,22.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shade,Julep|Canyon Rose + Antique Rose,SHOPIFY_PROD_ID:44731590017047,,Julep,,,,,,,,
,The Perfect Pair Duo - Vintage Mauve + Velvet Mauve,,,,,BALM-DUO-VMVM,julep-8750013087767,2,,,22.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shade,Julep|Vintage Mauve + Velvet Mauve,SHOPIFY_PROD_ID:44731590049815,,Julep,,,,,,,,
,The Perfect Pair Duo - Cherry Wood + Rich Black Cherry,,,,,BALM-DUO-CWRBC,julep-8750013087767,3,,,22.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shade,Julep|Cherry Wood + Rich Black Cherry,SHOPIFY_PROD_ID:44731590082583,,Julep,,,,,,,,
,The Perfect Pair Duo - 90s Neutral + Sweet Truffle,,,,,BALM-DUO-90ST,julep-8750013087767,4,,,22.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shade,Julep|90s Neutral + Sweet Truffle,SHOPIFY_PROD_ID:44731590115351,,Julep,,,,,,,,
,The Perfect Pair Duo - Rich Plum + Rich Black Cherry,,,,,BALM-DUO-RPRBC,julep-8750013087767,5,,,22.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shade,Julep|Rich Plum + Rich Black Cherry,SHOPIFY_PROD_ID:44731590148119,,Julep,,,,,,,,
,The Perfect Pair Duo - Black Cherry + Rich Black Cherry,,,,,BALM-DUO-BCRBC,julep-8750013087767,6,,,22.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shade,Julep|Black Cherry + Rich Black Cherry,SHOPIFY_PROD_ID:44731590180887,,Julep,,,,,,,,
,It’s Balm Moisturizing Lip Color Trios,,,,,julep-8640246317079,,,,"Creamy, full-coverage lip crayon with a hydrating core that moisturizes and conditions lips. Sunflower butter + vitamin E nourish lips while ultra-fine pigments give bold color and a smooth semi-gloss shine.",,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:8640246317079,,Julep,,,,,,,,
,It’s Balm Moisturizing Lip Color Trios - Neutral to Sultry,,,,,H24-ITBALMTRIO,julep-8640246317079,1,,,34.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shade,Julep|Neutral to Sultry,SHOPIFY_PROD_ID:44091067006999,,Julep,,,,,,,,
,It’s Balm Moisturizing Lip Color Trios - Cherry Orchid Nudes,,,,,9993-9993021,julep-8640246317079,2,,,34.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shade,Julep|Cherry Orchid Nudes,SHOPIFY_PROD_ID:44091070316567,,Julep,,,,,,,,
,It’s Balm Moisturizing Lip Color Trios - 90's Rose Mauve,,,,,ITS-BALM-TRIO-C,julep-8640246317079,3,,,34.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shade,Julep|90's Rose Mauve,SHOPIFY_PROD_ID:44091070349335,,Julep,,,,,,,,
,It’s Balm Moisturizing Lip Color Trios - Spiced Neutrals,,,,,BALM-TRIO-TTS,julep-8640246317079,4,,,34.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Shade,Julep|Spiced Neutrals,SHOPIFY_PROD_ID:44091106820119,,Julep,,,,,,,,
,Simply Subtle Natural Eyeshadow Set (3 PC),,,,,julep-6889922101271,,,,"This 3PC kit includes all you need to easily enhance your eyes for an enhanced, natural look for everyday. It features two beautiful Eyeshadow 101 shades that apply and blend like a dream, along with a fan-fave mascara for instant ly longer lashes.",,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:6889922101271,,Julep,,,,,,,,
,Simply Subtle Natural Eyeshadow Set (3 PC),,,,,DUOMASC-BUND-1,julep-6889922101271,1,,,40.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Title,Julep|Standard,SHOPIFY_PROD_ID:40569220759575,,Julep,,,,,,,,
,So Plush Glossy Lip Oil (Rosy Glow),,,,,julep-8693685780503,,,,"Use this sheer, nourishing formula to help revitalize dry lips while moisturizing with skin-friendly botanical oils.",,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand,Julep,SHOPIFY_PROD_ID:8693685780503,,Julep,,,,,,,,
,So Plush Glossy Lip Oil (Rosy Glow),,,,,0230-0039002,julep-8693685780503,1,,,8.00,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|Title,Julep|Standard,SHOPIFY_PROD_ID:44286228070423,,Julep,,,,,,,,
